topic,proportion,timeStep
Topic-0,7,01/27/17:23:00:01
Topic-1,12,01/27/17:23:00:01
Topic-2,8,01/27/17:23:00:01
Topic-3,3,01/27/17:23:00:01
Topic-4,11,01/27/17:23:00:01
Topic-5,2,01/27/17:23:00:01
Topic-6,1,01/27/17:23:00:01
Topic-7,1,01/27/17:23:00:01
Topic-8,3,01/27/17:23:00:01
Topic-9,1,01/27/17:23:00:01
Topic-0,67,01/27/17:23:30:01
Topic-1,32,01/27/17:23:30:01
Topic-2,6,01/27/17:23:30:01
Topic-3,19,01/27/17:23:30:01
Topic-4,31,01/27/17:23:30:01
Topic-5,9,01/27/17:23:30:01
Topic-6,13,01/27/17:23:30:01
Topic-7,1,01/27/17:23:30:01
Topic-8,17,01/27/17:23:30:01
Topic-9,0,01/27/17:23:30:01
Topic-0,89,01/28/17:00:00:01
Topic-1,38,01/28/17:00:00:01
Topic-2,23,01/28/17:00:00:01
Topic-3,31,01/28/17:00:00:01
Topic-4,51,01/28/17:00:00:01
Topic-5,7,01/28/17:00:00:01
Topic-6,4,01/28/17:00:00:01
Topic-7,12,01/28/17:00:00:01
Topic-8,25,01/28/17:00:00:01
Topic-9,2,01/28/17:00:00:01
Topic-0,133,01/28/17:00:30:01
Topic-1,31,01/28/17:00:30:01
Topic-2,33,01/28/17:00:30:01
Topic-3,44,01/28/17:00:30:01
Topic-4,64,01/28/17:00:30:01
Topic-5,8,01/28/17:00:30:01
Topic-6,5,01/28/17:00:30:01
Topic-7,14,01/28/17:00:30:01
Topic-8,28,01/28/17:00:30:01
Topic-9,5,01/28/17:00:30:01
Topic-0,139,01/28/17:01:00:01
Topic-1,30,01/28/17:01:00:01
Topic-2,33,01/28/17:01:00:01
Topic-3,62,01/28/17:01:00:01
Topic-4,81,01/28/17:01:00:01
Topic-5,7,01/28/17:01:00:01
Topic-6,3,01/28/17:01:00:01
Topic-7,10,01/28/17:01:00:01
Topic-8,42,01/28/17:01:00:01
Topic-9,0,01/28/17:01:00:01
Topic-0,119,01/28/17:01:30:01
Topic-1,23,01/28/17:01:30:01
Topic-2,23,01/28/17:01:30:01
Topic-3,62,01/28/17:01:30:01
Topic-4,79,01/28/17:01:30:01
Topic-5,10,01/28/17:01:30:01
Topic-6,11,01/28/17:01:30:01
Topic-7,19,01/28/17:01:30:01
Topic-8,51,01/28/17:01:30:01
Topic-9,2,01/28/17:01:30:01
Topic-0,132,01/28/17:02:00:01
Topic-1,40,01/28/17:02:00:01
Topic-2,27,01/28/17:02:00:01
Topic-3,50,01/28/17:02:00:01
Topic-4,51,01/28/17:02:00:01
Topic-5,8,01/28/17:02:00:01
Topic-6,4,01/28/17:02:00:01
Topic-7,12,01/28/17:02:00:01
Topic-8,49,01/28/17:02:00:01
Topic-9,0,01/28/17:02:00:01
Topic-0,110,01/28/17:02:30:01
Topic-1,28,01/28/17:02:30:01
Topic-2,18,01/28/17:02:30:01
Topic-3,55,01/28/17:02:30:01
Topic-4,63,01/28/17:02:30:01
Topic-5,7,01/28/17:02:30:01
Topic-6,6,01/28/17:02:30:01
Topic-7,11,01/28/17:02:30:01
Topic-8,44,01/28/17:02:30:01
Topic-9,1,01/28/17:02:30:01
Topic-0,103,01/28/17:03:00:01
Topic-1,30,01/28/17:03:00:01
Topic-2,22,01/28/17:03:00:01
